,notebook_name,notebook_brand,notebook_model,product_code,price,currency,cpu_brand,cpu_gen,cpu_tech,cpu_no,cpu_speed,cpu_cores,ram_capacity,ram_type,ram_speed,monitor_size,monitor_hz,monitor_resolution,monitor_type,gpu_brand,gpu_chipset,disc_capacity,disc_type,os,weight
0,"
Asus Vivobook 15 13.Nesil Core i5 1335U-8Gb-512Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,X1504VA-NJ009W,21.296,TL,Intel,13. Nesil,Core i5,1335U,Turbo Boost 4.6 GHz,12,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
1,"
Asus X515ea 11.Nesil Core i3 1115G4-4Gb-256Gb Ssd-15.6inc-W11
",ASUS,X515ea,X515EA-BQ945W,13.174,TL,Intel,Intel 11.Nesil,Core i3,1115G4,3 GHz Turbo Boost 4.1 GHz,2,4 GB,DDR4,None,15.6 inch,None,1920 x 1080,IPS,Intel,Intel UHD Graphics,256 GB SSD,NVMe SSD,Windows 11 Home 64,1.8 Kg.
2,"
Lenovo LOQ 12.Nesil Core i5 12450H-RTX4050 6Gb-8Gb-512Gb Ssd-15.6-W11
",LENOVO,LOQ,82XV00HKTX,29.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,144 Hz,1920 x 1080,Anti-Glare,NVIDIA,Rtx 4050,512 GB,NVMe SSD,Windows 11 Home 64,2.4 Kg.
3,"
Asus Vivobook 15 12.Nesil Core i3 1215U-8Gb-256Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,X1502ZA-EJ824W,15.668,TL,Intel,12. Nesil,Core i3,1215U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
4,"
Lenovo Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-15.6inc-W11
",LENOVO,Ideapad Slim 3 Notebook,83ER000XTR,18.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,None,1920 x 1080,TN ,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.65 Kg.
5,"
Asus Vivobook 16X 12.Nesil Core i5 12450H-RTX3050 4Gb-8Gb-512Ssd-16-W11
",ASUS,Vivobook 16X,K3605ZC-N1013W,30.365,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,DDR4,None,16 inch,120 Hz,1920 x 1200,IPS,NVIDIA,RTX 3050,512 GB,NVMe SSD,Windows 11 Home 64,1.8 Kg.
6,"
Lenovo Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-256Gb Ssd-15.6inc-W11
",LENOVO,Ideapad Slim 3 Notebook,83ER001ETR,17.999,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,8 GB,DDR5,4800 MHz,15.6 inch,None,1920 x 1080,Full HD,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.65 Kg.
7,"
Lenovo Ideapad 3 12.Nesil Core i3 1215U-8Gb-256Gb Ssd-15.6inc-W11
",LENOVO,Ideapad 3 12.Nesil Core i3,82RK00X8TX,13.999,TL,Intel,12. Nesil,Core i3,1215U,Turbo Boost 4.4 GHz,6,8 GB,DDR4,3200 MHz,15.6 inch,None,1920 x 1080,TN ,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.65 Kg.
8,"
Dell Inspiron 15 3520 12.Nesil Core i5 1235U-8Gb-512Gb Ssd-15.6inc-W11
",DELL,Inspiron 15,I35202010WH,17.779,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB (1x8GB),DDR4,2666 MHz,15.6 inch,120 Hz,1920 x 1080,Full HD,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.8 Kg.
9,"
Acer Swift 3 5. Nesil Ryzen 5 5500U-8Gb-512Gb Ssd-14inc-W11
",ACER,Swift,SF314-43-R5AY,16.999,TL,AMD,5. Nesil,Ryzen™ 5,5500U,Turbo Boost 3.8 GHz,6,8 GB,LPDDR4X,None,14 inch,60 Hz,1920 x 1080,LCD,AMD,None,512 GB,NVMe SSD,Windows 11 Home 64,1.2 Kg.
